Restaurant ID,Restaurant Name,City,Address,Cuisines,Aggregate rating
2500256,Indiana Veg Restaurant,Aurangabad,"Plot 2, Near High Court, N-3, CIDCO, Aurangabad","South Indian, North Indian, Chinese, Fast Food",3.4
2500024,Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,"Welcome Hotel Rama International, Opposite High Court, CIDCO, Aurangabad","North Indian, Chinese, Continental, Italian, Mexican",3.4
2500075,Mauj Restaurant,Aurangabad,"31, Kailash Arcade, Opposite Bank of Baroda, Connaught Place, CIDCO, Aurangabad","Italian, Fast Food, North Indian, Chinese",3.3
2500029,Naivedya,Aurangabad,"Sakal Office, Jalna Road, CIDCO, Aurangabad",North Indian,3.4
2500079,d' Curry House,Aurangabad,"Hotel Green Olive, Near Baba Petrol Pump, Nirala Bazar, Aurangabad","Continental, Chinese, Biryani, North Indian",3.6
2500343,Mokoholic Juice Bar,Aurangabad,"Opposite Municipal Car Parking, Paithan Gate, Near Mondha, Aurangabad","Juices, Desserts",3.5
2500052,Ashoka's Veg Restaurant,Aurangabad,"31, Opposite Kohinoor Plaza, Near M P Law College, Nirala Bazar, Aurangabad","South Indian, Chinese, North Indian",3.3
2500062,Kareem's Fine Dining,Aurangabad,"A1-A3, Motiwala Complex, Below KFC Restaurant, Nirala Bazar, Aurangabad","Mughlai, Biryani",3.3
2500056,That Baat,Aurangabad,"Near Vivekanand College, Samarth Nagar, Nirala Bazar Road, Aurangabad",Maharashtrian,3.4
2500030,Bhoj Restaurant,Aurangabad,"First Floor, Bhau Pathak Smriti Kamgar Bhavan, CBS Road, Nirala Bazar, Aurangabad",North Indian,3.7
2500390,Downside Up,Aurangabad,"6&7 B, Kuber Avenue, Rana Nagar, Near Nyay Nagar, Aurangabad","Cafe, Mughlai, North Indian",3.2
2500007,Kareem's Kabab & Biryani,Aurangabad,"First Floor, Food Court, Prozone Mall, MIDC Industrial Area, Chicalthana, Aurangabad",Mughlai,3.4
2500123,Great Sagar Restaurant,Aurangabad,"Near Bhadkal Gate, VIP Road, Shahgunj, Aurangabad","North Indian, Mughlai",3.3
